doc_id,locale,summary_len,body0_len
wp-page-59642,ja,240,37
wp-page-59655,en,240,18
wp-page-59655,es,240,18
wp-page-59655,ja,240,6
wp-page-59687,en,221,295
wp-page-59687,es,237,322
wp-page-59749,ja,240,11
wp-page-60075,es,133,545
wp-page-60076,es,124,511
wp-page-60416,en,239,60
wp-page-60416,es,239,28
wp-page-60416,ja,240,20
wp-page-60419,en,240,71
wp-page-60419,es,240,79
wp-page-60419,ja,240,19
wp-page-60420,en,240,64
wp-page-60420,es,240,55
wp-page-60420,ja,240,13
wp-page-60421,en,240,53
wp-page-60421,es,239,32
wp-page-60421,ja,240,13
wp-page-60422,en,240,56
wp-page-60422,es,239,57
wp-page-60422,ja,240,21
wp-page-60423,en,239,42
wp-page-60423,es,240,41
wp-page-60423,ja,240,18
wp-page-60424,en,240,18
wp-page-60424,es,239,27
wp-page-60424,ja,240,23
wp-page-60425,en,240,41
wp-page-60425,es,240,41
wp-page-60425,ja,240,18
wp-page-60426,en,240,25
wp-page-60426,es,240,25
wp-page-60426,ja,240,17
wp-page-60506,en,240,26
wp-page-60506,es,240,22
wp-page-60506,ja,240,13
wp-page-60508,en,240,50
wp-page-60508,es,240,60
wp-page-60509,en,240,19
wp-page-60509,es,240,55
wp-page-60509,ja,240,24
wp-page-60510,es,251,798
wp-page-60511,en,240,14
wp-page-60511,es,240,35
wp-page-60511,ja,240,13
wp-page-60513,en,239,46
wp-page-60513,es,240,25
wp-page-60601,en,240,40
wp-page-60601,es,240,33
wp-page-60601,ja,240,24
wp-page-60604,en,240,22
wp-page-60604,es,240,22
wp-page-60604,ja,239,14
wp-page-60624,es,112,763
wp-page-60643,es,183,869
wp-page-60648,es,250,626
wp-page-60649,es,216,792
wp-page-60653,es,142,1153
wp-page-60657,es,276,1380
wp-page-60661,es,104,851
wp-page-61927,en,240,18
wp-page-61927,ja,240,17
wp-page-63606,es,219,549
wp-page-69927,es,178,711
wp-page-72292,en,240,43
wp-page-72292,es,240,56
wp-page-72292,ja,240,18
wp-page-72314,en,240,46
wp-page-72314,es,240,64
wp-page-72314,ja,240,17
wp-page-72323,es,240,74
wp-page-72323,ja,240,24
wp-page-72325,es,240,72
wp-page-72325,ja,240,22
wp-page-72327,en,240,37
wp-page-72327,es,240,50
wp-page-72327,ja,240,12
wp-page-72336,en,240,49
wp-page-72336,es,240,53
wp-page-72336,ja,240,16
wp-page-72338,ja,240,19
wp-page-72343,en,240,50
wp-page-72343,es,240,45
wp-page-72343,ja,240,18
wp-page-72364,es,240,90
wp-page-72364,ja,240,30
wp-page-75564,en,271,370
wp-page-75799,en,240,33
wp-page-75799,es,239,39
wp-page-75799,ja,240,13
wp-page-76469,es,239,70
wp-page-76469,ja,240,29
wp-page-78370,es,142,868
wp-page-78374,es,132,667
wp-page-78784,es,275,619
wp-page-86817,en,240,26
wp-page-86817,es,240,40
wp-page-86817,ja,240,17
