category,type,doc,base_id,doc_status,alt_en,alt_es,alt_ja,cap_en,cap_es,cap_ja
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting To Beni Suef",wp-page-59347,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Only Here In Beni Suef",wp-page-59348,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Tours And Excursions From Beni Suef",wp-page-59376,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Cairo Food Guide",wp-page-59387,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"How to Get to Cairo",wp-page-59390,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Things to Do in Cairo",wp-page-59392,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Where to Stay in Cairo",wp-page-59393,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Weather in Cairo",wp-page-59394,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Eating Out in Dahab",wp-page-59422,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting Around Dahab",wp-page-59423,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Dahab Exclusives",wp-page-59426,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Things to Do in Dahab",wp-page-59427,published+draft,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,guideArticle,"Nabq Managed Resource Protected Area",wp-page-59456,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Tours And Excursions In Dakhla Oasis",wp-page-59478,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Food In Dakhla Oasis",wp-page-59480,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting Around Dakhla Oasis",wp-page-59481,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Dakhla Oasis History",wp-page-59483,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Where To Stay In Dakhla Oasis",wp-page-59493,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Things To Do In Dakhla Oasis",wp-page-59494,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Only Here In Dakhla Oasis",wp-page-59496,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting To Dakhla Oasis",wp-page-59506,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Edfu History",wp-page-59571,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Edfu Weather And Best Time To Visit",wp-page-59572,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Where To Stay In Edfu",wp-page-59574,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting To Edfu",wp-page-59585,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting Around Edfu",wp-page-59587,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Things To Do In Edfu",wp-page-59588,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Food And Drink In Edfu",wp-page-59590,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Esna History",wp-page-59603,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Esna Weather And Best Time To Visit",wp-page-59605,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Where To Stay In Esna",wp-page-59607,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Things To Do In Esna",wp-page-59610,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Food And Drink In Esna",wp-page-59615,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting Around Esna",wp-page-59616,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Tours And Excursions From Esna",wp-page-59619,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Farafra Oasis History",wp-page-59629,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Weather in Farafra",wp-page-59634,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Accommodations In Farafra",wp-page-59636,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting Around In Farafra",wp-page-59638,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Things To Do In Farafra",wp-page-59642,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Tours And Expeditions From Farafra Oasis",wp-page-59644,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Food And Drink In Farafra Oasis",wp-page-59645,published+draft,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,guideArticle,"Qasr Al-Farafra",wp-page-59654,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Road to Dakhla",wp-page-59655,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Hurghada Weather: A Month-by-Month Guide",wp-page-59689,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Things to Do in Hurghada",wp-page-59702,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Discover Hurghada With Tours",wp-page-59704,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Dining in Hurghada: Where to Eat and What to Order",wp-page-59706,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Hurghada Grand Aquarium",wp-page-59711,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Hurghada Marina",wp-page-59712,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Kharga Oasis Weather And Best Time To Visit",wp-page-59731,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting Around Kharga Oasis",wp-page-59733,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Where To Stay In Kharga Oasis",wp-page-59734,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Food In Kharga Oasis",wp-page-59742,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Kharga unearthed",wp-page-59749,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Giza Historical Overview",wp-page-60061,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Where To Stay In Giza",wp-page-60072,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting Around Giza",wp-page-60075,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Things To Do In Giza",wp-page-60076,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Only Here In Giza",wp-page-60081,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"History Of Ismailia",wp-page-60118,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"How To Get To Ismailia",wp-page-60121,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Where To Stay In Ismailia",wp-page-60122,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting Around Ismailia",wp-page-60123,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Things To Do In Ismailia",wp-page-60128,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Food And Drink In Ismailia",wp-page-60130,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Only In Ismailia",wp-page-60133,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Tours and Excursions from Marsa Alam",wp-page-60207,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"History of Marsa Matruh",wp-page-60223,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Weather in Marsa Matruh",wp-page-60224,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting to Marsa Matruh",wp-page-60227,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting Around Marsa Matruh",wp-page-60229,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Things to Do in Marsa Matruh",wp-page-60230,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Tours and Excursions from Marsa Matruh",wp-page-60231,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Food in Marsa Matruh",wp-page-60237,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Events in Marsa Matruh",wp-page-60238,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Nuweiba Weather and Best Time to Visit",wp-page-60297,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Where to Stay in Nuweiba",wp-page-60299,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting Around Nuweiba",wp-page-60300,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Things to Do in Nuweiba",wp-page-60301,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Events and Cultural Life in Nuweiba",wp-page-60303,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Only in Nuweiba",wp-page-60304,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Qena History",wp-page-60320,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Weather in Qena",wp-page-60321,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"How to Get to Qena",wp-page-60322,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Where to Stay in Qena",wp-page-60323,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting Around Qena",wp-page-60324,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Things to Do in Qena",wp-page-60333,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Food in Qena",wp-page-60336,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Only in Qena",wp-page-60340,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Port Said History",wp-page-60345,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Port Said Weather and Best Time to Visit",wp-page-60347,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Where to Stay in Port Said",wp-page-60349,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting Around Port Said",wp-page-60350,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Things to Do in Port Said",wp-page-60351,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Food and Drink in Port Said",wp-page-60353,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Ras Sudr History",wp-page-60370,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Ras Sudr Weather and Best Time to Visit",wp-page-60380,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting to Ras Sudr",wp-page-60381,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Where to Stay in Ras Sudr",wp-page-60382,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting Around Ras Sudr",wp-page-60383,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Things to Do in Ras Sudr",wp-page-60384,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Only in Ras Sudr",wp-page-60388,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Past and Present Rosetta",wp-page-60416,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"When to Go Rosetta",wp-page-60419,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Rosetta Arrival Guide",wp-page-60420,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Stay in Rosetta",wp-page-60421,published+draft,-,-,-,-,-,-
